close,fclose,fhigh,flow,fopen,fvolume,high,low,open,priceDate,symbol,uclose,uhigh,ulow,uopen,uvolume,volume,id,key,subkey,date,updated
136.167,136.167,137.511,133.887,136.95,59491053.00000006,137.511,133.887,136.95,2020-11-13,TSLA,408.5,412.5319,401.66,410.85,19830351,59491053.00000006,HISTORICAL_PRICES,TSLA,,1605225600000,1661544968000
137.253,137.253,141,136.507,138.35,59821500.00000006,141,136.507,138.35,2020-11-12,TSLA,411.76,423,409.52,415.05,19940500,59821500.00000006,HISTORICAL_PRICES,TSLA,,1605139200000,1661544969000
139.043,139.043,139.565,136.86,138.817,52073166.00000005,139.565,136.86,138.817,2020-11-11,TSLA,417.13,418.695,410.58,416.45,17357722,52073166.00000005,HISTORICAL_PRICES,TSLA,,1605052800000,1661544971000
136.787,136.787,140.03,132.01,140.03,90852672.00000007,140.03,132.01,140.03,2020-11-10,TSLA,410.36,420.09,396.0301,420.09,30284224,90852672.00000007,HISTORICAL_PRICES,TSLA,,1604966400000,1661544965000
140.42,140.42,150.833,140.333,146.5,104499075.0000001,150.833,140.333,146.5,2020-11-09,TSLA,421.26,452.5,421,439.5,34833025,104499075.0000001,HISTORICAL_PRICES,TSLA,,1604880000000,1661544971000
143.317,143.317,145.523,141.427,145.367,65118042.00000007,145.523,141.427,145.367,2020-11-06,TSLA,429.95,436.57,424.28,436.1,21706014,65118042.00000007,HISTORICAL_PRICES,TSLA,,1604620800000,1661544969000
146.03,146.03,146.667,141.333,142.767,85243569.00000009,146.667,141.333,142.767,2020-11-05,TSLA,438.09,440,424.0001,428.3,28414523,85243569.00000009,HISTORICAL_PRICES,TSLA,,1604534400000,1661544970000
140.327,140.327,145.133,139.033,143.54,96429171.0000001,145.133,139.033,143.54,2020-11-04,TSLA,420.98,435.4,417.1,430.62,32143057,96429171.0000001,HISTORICAL_PRICES,TSLA,,1604448000000,1661544965000
141.3,141.3,142.59,135.563,136.577,103055145.0000001,142.59,135.563,136.577,2020-11-03,TSLA,423.9,427.77,406.69,409.73,34351715,103055145.0000001,HISTORICAL_PRICES,TSLA,,1604361600000,1661544972000
133.503,133.503,135.66,130.767,131.333,87063354.00000009,135.66,130.767,131.333,2020-11-02,TSLA,400.51,406.9799,392.3,394,29021118,87063354.00000009,HISTORICAL_PRICES,TSLA,,1604275200000,1661544967000
129.347,129.347,135.864,126.37,135.632,127762917.00000012,135.864,126.37,135.632,2020-10-30,TSLA,388.04,407.5915,379.11,406.8954,42587639,127762917.00000012,HISTORICAL_PRICES,TSLA,,1604016000000,1661544967000
136.943,136.943,139.353,135.487,136.653,67965924.00000007,139.353,135.487,136.653,2020-10-29,TSLA,410.83,418.06,406.46,409.96,22655308,67965924.00000007,HISTORICAL_PRICES,TSLA,,1603929600000,1661544972000
135.34,135.34,139.533,135.333,138.827,76354227.00000007,139.533,135.333,138.827,2020-10-28,TSLA,406.02,418.6,406,416.48,25451409,76354227.00000007,HISTORICAL_PRICES,TSLA,,1603843200000,1661544968000
141.56,141.56,143.5,140.033,141.253,68059518.00000007,143.5,140.033,141.253,2020-10-27,TSLA,424.68,430.5,420.1,423.76,22686506,68059518.00000007,HISTORICAL_PRICES,TSLA,,1603756800000,1661544963000
140.093,140.093,141.92,136.667,137.21,84717483.00000009,141.92,136.667,137.21,2020-10-26,TSLA,420.28,425.76,410,411.63,28239161,84717483.00000009,HISTORICAL_PRICES,TSLA,,1603670400000,1661544962000
140.21,140.21,140.962,135.793,140.613,101150940.0000001,140.962,135.793,140.613,2020-10-23,TSLA,420.63,422.8859,407.3801,421.84,33716980,101150940.0000001,HISTORICAL_PRICES,TSLA,,1603411200000,1661544963000
141.93,141.93,148.41,141.503,147.307,119979573.00000012,148.41,141.503,147.307,2020-10-22,TSLA,425.79,445.23,424.51,441.92,39993191,119979573.00000012,HISTORICAL_PRICES,TSLA,,1603324800000,1661544965000
140.88,140.88,144.317,140.417,140.9,97111383.0000001,144.317,140.417,140.9,2020-10-21,TSLA,422.64,432.95,421.25,422.7,32370461,97111383.0000001,HISTORICAL_PRICES,TSLA,,1603238400000,1661544969000
140.647,140.647,143.917,139.683,143.917,94968867.0000001,143.917,139.683,143.917,2020-10-20,TSLA,421.94,431.75,419.0501,431.75,31656289,94968867.0000001,HISTORICAL_PRICES,TSLA,,1603152000000,1661544967000
143.61,143.61,149,142.957,148.747,108863529.00000012,149,142.957,148.747,2020-10-19,TSLA,430.83,447,428.87,446.24,36287843,108863529.00000012,HISTORICAL_PRICES,TSLA,,1603065600000,1661544964000
146.557,146.557,151.983,146.283,151.48,98327637.0000001,151.983,146.283,151.48,2020-10-16,TSLA,439.67,455.9499,438.85,454.44,32775879,98327637.0000001,HISTORICAL_PRICES,TSLA,,1602806400000,1661544968000
149.627,149.627,152.19,147.5,150.103,107017062.00000012,152.19,147.5,150.103,2020-10-15,TSLA,448.88,456.57,442.5,450.31,35672354,107017062.00000012,HISTORICAL_PRICES,TSLA,,1602720000000,1661544967000
153.767,153.767,155.3,149.117,149.927,144136182.00000015,155.3,149.117,149.927,2020-10-14,TSLA,461.3,465.9,447.35,449.78,48045394,144136182.00000015,HISTORICAL_PRICES,TSLA,,1602633600000,1661544967000
148.883,148.883,149.63,145.533,147.783,103390995.0000001,149.63,145.533,147.783,2020-10-13,TSLA,446.65,448.89,436.6,443.35,34463665,103390995.0000001,HISTORICAL_PRICES,TSLA,,1602547200000,1661544968000
147.433,147.433,149.58,146.193,147.333,116373399.00000012,149.58,146.193,147.333,2020-10-12,TSLA,442.3,448.74,438.58,442,38791133,116373399.00000012,HISTORICAL_PRICES,TSLA,,1602460800000,1661544964000
144.667,144.667,144.863,142.153,143.377,86776968.00000009,144.863,142.153,143.377,2020-10-09,TSLA,434,434.5899,426.4601,430.13,28925656,86776968.00000009,HISTORICAL_PRICES,TSLA,,1602201600000,1661544970000
141.973,141.973,146.333,141.767,146.147,121263348.00000012,146.333,141.767,146.147,2020-10-08,TSLA,425.92,439,425.3,438.44,40421116,121263348.00000012,HISTORICAL_PRICES,TSLA,,1602115200000,1661544964000
141.767,141.767,143.3,137.948,139.957,129383127.00000012,143.3,137.948,139.957,2020-10-07,TSLA,425.3,429.9,413.845,419.87,43127709,129383127.00000012,HISTORICAL_PRICES,TSLA,,1602028800000,1661544971000
137.993,137.993,142.927,135.35,141.263,147438777.00000015,142.927,135.35,141.263,2020-10-06,TSLA,413.98,428.7799,406.05,423.79,49146259,147438777.00000015,HISTORICAL_PRICES,TSLA,,1601942400000,1661544964000
141.893,141.893,144.547,139.777,141.117,134168358.00000012,144.547,139.777,141.117,2020-10-05,TSLA,425.68,433.64,419.33,423.35,44722786,134168358.00000012,HISTORICAL_PRICES,TSLA,,1601856000000,1661544968000
138.363,138.363,146.377,138.333,140.463,214290075.00000024,146.377,138.333,140.463,2020-10-02,TSLA,415.09,439.13,415,421.39,71430025,214290075.00000024,HISTORICAL_PRICES,TSLA,,1601596800000,1661544964000
149.387,149.387,149.627,144.807,146.92,152224362.00000015,149.627,144.807,146.92,2020-10-01,TSLA,448.16,448.88,434.42,440.76,50741454,152224362.00000015,HISTORICAL_PRICES,TSLA,,1601510400000,1661544966000
143.003,143.003,144.643,140.157,140.44,144436698.00000015,144.643,140.157,140.44,2020-09-30,TSLA,429.01,433.93,420.47,421.32,48145566,144436698.00000015,HISTORICAL_PRICES,TSLA,,1601424000000,1661544968000
139.69,139.69,142.833,137.2,138.667,151024212.00000015,142.833,137.2,138.667,2020-09-29,TSLA,419.07,428.5,411.6,416,50341404,151024212.00000015,HISTORICAL_PRICES,TSLA,,1601337600000,1661544968000
140.4,140.4,142.693,138.517,141.54,149158683.00000015,142.693,138.517,141.54,2020-09-28,TSLA,421.2,428.08,415.55,424.62,49719561,149158683.00000015,HISTORICAL_PRICES,TSLA,,1601251200000,1661544969000
135.78,135.78,136.244,130.433,131.157,201625377.0000002,136.244,130.433,131.157,2020-09-25,TSLA,407.34,408.7323,391.3,393.47,67208459,201625377.0000002,HISTORICAL_PRICES,TSLA,,1600992000000,1661544970000
129.263,129.263,133.167,117.1,121.267,289683183.0000003,133.167,117.1,121.267,2020-09-24,TSLA,387.79,399.5,351.3,363.8,96561061,289683183.0000003,HISTORICAL_PRICES,TSLA,,1600905600000,1661544969000
126.787,126.787,137.383,125.293,135.053,285222528.0000003,137.383,125.293,135.053,2020-09-23,TSLA,380.36,412.15,375.8801,405.16,95074176,285222528.0000003,HISTORICAL_PRICES,TSLA,,1600819200000,1661544964000
141.41,141.41,145.92,139.2,143.2,238742385.00000024,145.92,139.2,143.2,2020-09-22,TSLA,424.23,437.76,417.6001,429.6,79580795,238742385.00000024,HISTORICAL_PRICES,TSLA,,1600732800000,1661544967000
149.797,149.797,151.893,135.69,151.043,328430400.0000004,151.893,135.69,151.043,2020-09-21,TSLA,449.39,455.68,407.07,453.13,109476800,328430400.0000004,HISTORICAL_PRICES,TSLA,,1600646400000,1661544964000
147.383,147.383,150.333,142.933,149.313,259220457.00000027,150.333,142.933,149.313,2020-09-18,TSLA,442.15,451,428.8,447.94,86406819,259220457.00000027,HISTORICAL_PRICES,TSLA,,1600387200000,1661544965000
141.143,141.143,145.93,136,138.533,230337489.00000024,145.93,136,138.533,2020-09-17,TSLA,423.43,437.79,408.0001,415.6,76779163,230337489.00000024,HISTORICAL_PRICES,TSLA,,1600300800000,1661544966000
147.253,147.253,152.597,145.103,146.623,217640280.00000024,152.597,145.103,146.623,2020-09-16,TSLA,441.76,457.79,435.31,439.87,72546760,217640280.00000024,HISTORICAL_PRICES,TSLA,,1600214400000,1661544970000
149.92,149.92,153.98,143.567,145.52,291894684.0000003,153.98,143.567,145.52,2020-09-15,TSLA,449.76,461.94,430.7,436.56,97298228,291894684.0000003,HISTORICAL_PRICES,TSLA,,1600128000000,1661544964000
